"","V1","PP"
"1","Cardinals",13.1986212503905
"2","Falcons",14.5439261719844
"3","Ravens",6.32567564728935
"4","Bills",3.57983037429014
"5","Panthers",13.9033703711082
"6","Bears",NA
"7","Bengals",10.7662343470397
"8","Browns",3.93968670279379
"9","Cowboys",7.71425337215454
"10","Broncos",10.1355936779431
"11","Lions",NA
"12","Packers",12.9980081326593
"13","Texans",6.30489783104873
"14","Colts",6.79798755273896
"15","Jaguars",5.42184901649865
"16","Chiefs",5.89141542245286
"17","Rams",2.35345395200707
"18","Dolphins",9.5879952729126
"19","Vikings",9.69179919248737
"20","Patriots",5.92189504778637
"21","Saints",4.56038401470346
"22","Giants",4.14469017125648
"23","Jets",4.88127808519173
"24","Raiders",3.45480946322029
"25","Eagles",8.65497689735301
"26","Steelers",1.94851242192573
"27","Chargers",7.66002601133269
"28","49ers",5.3939696031039
"29","Buccaneers",7.72035348789893
"30","Titans",10.1782518681789
"31","Redskins",6.9948977145503
