"","V1","PP","Position","Salary","Proj$/Pt.","ActualPoints","Actual$/Pt.","OwnershipPred","NA","ProjPlusMinus","OppPlusMinus","Team"
"1","Cardinals",10.112694936319,"D",2600,257.102584066122,9,288.888888888889,90,57.9,0.93,-1.9,"ARI"
"2","Falcons",6.50707443013528,"D",2700,414.933013136576,7,385.714285714286,90,50,0.31,-2.5,"ATL"
"3","Ravens",4.22716848897686,"D",2900,686.038422069596,3,966.666666666667,90,28.3,-0.73,-4.6,"BAL"
"4","Bills",3.27966596710062,"D",3100,945.218211579194,1,3100,60,38.45,-1.96,-4.2,"BUF"
"5","Panthers",6.0877383811495,"D",2500,410.661536924973,5,500,90,25.7,-0.06,-5.5,"CAR"
"6","Bears",-2.43831598188831,"D",2300,-943.273971496837,-4,-575,70,21.35,-1.62,-4.7,"CHI"
"7","Bengals",5.46502609714563,"D",3200,585.541577133794,8,400,90,38.8,-1.78,-1.3,"CIN"
"8","Browns",7.16150291752091,"D",2200,307.198087515626,5,440,90,68.25,-0.21,4.3,"CLE"
"9","Cowboys",5.38688773494518,"D",2800,519.780648450528,8,350,50,41.1,1.09,-2.6,"DAL"
"10","Broncos",7.87222330087231,"D",3300,419.195425977606,1,3300,90,34.25,1.41,-4.6,"DEN"
"11","Lions",0.42391653685229,"D",2700,6369.17828223529,-3,-900,50,20.35,-2.39,-4.5,"DET"
"12","Packers",8.79212709765259,"D",3300,375.335793414664,8,412.5,70,33.15,-0.89,-2.2,"GB"
"13","Texans",4.24958434048532,"D",3100,729.483109787148,9,344.444444444444,70,48.2,0.34,-2.6,"HOU"
"14","Colts",3.7077604864614,"D",2500,674.261460288106,0,Inf,90,18.4,-0.66,-5.5,"IND"
"15","Jaguars",9.19448668895243,"D",2900,315.406405828449,12,241.666666666667,80,7.55,-2.13,-5.1,"JAX"
"16","Chiefs",11.216252188531,"D",3500,312.04719198262,10,350,90,78.5,0.87,2,"KC"
"17","Rams",9.47956406599342,"D",3500,369.215290453677,8,437.5,70,47.25,-0.63,-2.6,"LA"
"18","Dolphins",3.5340446792582,"D",3000,848.885702438178,1,3000,90,27.2,-0.74,-4,"MIA"
"19","Vikings",3.92084576449685,"D",2900,739.636337205462,0,Inf,90,37.65,0.27,-3.6,"MIN"
"20","Patriots",12.0203134045506,"D",3600,299.493023088494,17,211.764705882353,50,71.05,2.46,1.3,"NE"
"21","Saints",2.68916661542808,"D",2400,892.469803183969,6,400,90,24.5,0.76,-3.5,"NO"
"22","Giants",5.49240674848958,"D",3300,600.82949991049,3,1100,50,49.6,1.61,-2.9,"NYG"
"23","Jets",6.04656893472862,"D",2300,380.381010260197,-3,-766.666666666667,90,20.1,0.88,-5.5,"NYJ"
"24","Raiders",2.81392391549641,"D",2800,995.05177968042,6,466.666666666667,80,44.7,0.99,-4.1,"OAK"
"25","Eagles",10.396682109681,"D",2800,269.31668877254,13,215.384615384615,50,43,-0.01,-2.7,"PHI"
"26","Steelers",6.48132148359877,"D",3000,462.868568947184,4,750,90,39.3,0.56,-3.4,"PIT"
"27","Chargers",9.33609278976745,"D",3400,364.17804284534,10,340,50,84.85,1.29,2,"SD"
"28","49ers",9.1801107791962,"D",2800,305.007212586727,8,350,90,64.15,-0.61,1.5,"SF"
"29","Buccaneers",2.98672025634859,"D",2600,870.520094566415,1,2600,90,70.05,0.43,-0.6,"TB"
"30","Titans",7.57895269395701,"D",3400,448.610795883572,3,1133.33333333333,70,64.8,0.19,-0.8,"TEN"
"31","Redskins",7.47532033302292,"D",3200,428.075300781922,13,246.153846153846,90,38.85,-0.88,-2.3,"WAS"
