"","V1","PP","Position","Salary","Proj$/Pt.","ActualPoints","Actual$/Pt.","OwnershipPred","NA","ProjPlusMinus","OppPlusMinus","Team"
"1","Cardinals",7.42612177747519,"D",3600,484.775244451212,8,450,80,41.15,-1.64,-3.6,"ARI"
"2","Falcons",NA,"D",2000,NA,11,181.818181818182,50,33,0.43,-4.4,"ATL"
"3","Ravens",10.3063284350246,"D",2500,242.569409248021,13,192.307692307692,70,73.45,-0.56,2.1,"BAL"
"4","Bills",16.9895234832131,"D",2700,158.921467259974,22,122.727272727273,90,38,-1.59,-2.9,"BUF"
"5","Panthers",8.06365838653523,"D",3800,471.25012219581,3,1266.66666666667,70,32.35,0.02,-5.5,"CAR"
"6","Bears",4.612518556042,"D",2700,585.363498746955,1,2700,90,46.05,-2.59,-1.7,"CHI"
"7","Bengals",10.8474099825161,"D",2800,258.126133751103,5,560,90,52.7,-0.11,-2.5,"CIN"
"8","Browns",5.23242985744689,"D",2300,439.566332021938,12,191.666666666667,90,58.05,0.38,-1.1,"CLE"
"9","Cowboys",6.91652170183763,"D",2500,361.453358750509,6,416.666666666667,50,59.9,-0.56,-0.9,"DAL"
"10","Broncos",12.5711828921384,"D",3500,278.414531872635,9,388.888888888889,70,38.85,0.27,-3.2,"DEN"
"11","Lions",6.68361377700513,"D",2400,359.08717649981,1,2400,90,80.4,0.16,5.9,"DET"
"12","Packers",6.08614752931904,"D",3000,492.922655185071,5,600,80,31.25,-0.14,-5.3,"GB"
"13","Texans",1.12664339222549,"D",3000,2662.77690057191,1,3000,50,40.05,-0.74,-3.8,"HOU"
"14","Colts",7.61675050278406,"D",2400,315.095000042703,11,218.181818181818,90,35.85,0.36,-5.7,"IND"
"15","Jaguars",5.19124269291282,"D",2600,500.84346924284,9,288.888888888889,80,58.6,-0.07,-1.1,"JAX"
"16","Chiefs",25.73828195491,"D",3200,124.328422759762,35,91.4285714285714,80,44.9,-0.28,-2.7,"KC"
"17","Rams",9.775908289946,"D",3000,306.876855942413,12,250,90,76.85,0.56,1.3,"LA"
"18","Dolphins",12.7194224716657,"D",3000,235.859765385019,7,428.571428571429,30,73.3,-1.44,1,"MIA"
"19","Vikings",15.8383786901369,"D",3100,195.727104437178,26,119.230769230769,90,38.7,-1.76,-2.8,"MIN"
"20","Patriots",10.2617452617405,"D",3200,311.837793511669,18,177.777777777778,50,45.4,-0.28,-3.1,"NE"
"21","Saints",NA,"D",2200,NA,-2,-1100,50,29.85,0.89,-5.1,"NO"
"22","Giants",8.36502024604264,"D",3300,394.499941773743,3,1100,90,28.45,-0.89,-5.8,"NYG"
"23","Jets",-0.772061750224003,"D",2900,-3756.17623740408,6,483.333333333333,80,66.4,0.17,-0.7,"NYJ"
"24","Raiders",5.20932998850818,"D",2600,499.10449246556,11,236.363636363636,90,88.55,0.93,6.8,"OAK"
"25","Eagles",11.5082997295984,"D",2800,243.302665536128,17,164.705882352941,90,29.95,-0.31,-3.9,"PHI"
"26","Steelers",7.16652060790124,"D",2900,404.659409867976,-1,-2900,90,73.5,-0.13,0.1,"PIT"
"27","Chargers",10.7048505077053,"D",2300,214.855872890935,12,191.666666666667,80,74.3,0.58,0.7,"SD"
"28","49ers",2.18845514938441,"D",2400,1096.66401007811,2,1200,90,51.5,-1.74,-0.8,"SF"
"29","Buccaneers",12.9660167694553,"D",3100,239.086533290843,10,310,70,39.1,-0.46,-3.5,"TB"
"30","Titans",3.64525963171458,"D",2500,685.822205433445,4,625,80,57.25,0.04,-1.4,"TEN"
"31","Redskins",7.44803471717035,"D",2400,322.232654805858,8,300,90,85.25,1.36,1.9,"WAS"
