"","QBModel.Properties.Player_Name","QBP","QBModel.Properties.Position","QBModel.Properties.Salary","QBModel.Properties.Salary.QBP","QBModel.ActualPoints","QBModel.Properties.Salary.QBModel.ActualPoints","c.QBModel.Properties.OwnRank.","naQB","QBModel.Properties.ProjPlusMinus","QBModel.Properties.OppPlusMinus","QBModel.TeamName"
"1","Aaron Rodgers",21.115134853803,"QB",6700,317.30794268611,40.2,166.666666666667,60,71.45,3.22,-0.9,"GB"
"2","Russell Wilson",19.6981318433399,"QB",6300,319.827283627919,37.6,167.553191489362,80,63.75,3.46,1.1,"SEA"
"3","Tyrod Taylor",20.3380202471681,"QB",5400,265.512568793509,34.2,157.894736842105,80,81.54,3.46,2.8,"BUF"
"4","Kirk Cousins",21.6650091765337,"QB",6800,313.870164770821,29.8,228.187919463087,90,50.38,1.99,-3.4,"WAS"
"5","Sam Bradford",21.0699705127223,"QB",5000,237.304556120804,29.8,167.785234899329,90,50.64,1.89,3.3,"MIN"
"6","Blake Bortles",19.1970649476659,"QB",5000,260.456481948192,29.7,168.350168350168,80,65.93,3.29,5.1,"JAX"
"7","Colin Kaepernick",14.4830657277023,"QB",5700,393.563083063097,27.1,210.332103321033,90,56.44,1.06,0.6,"SF"
"8","Andrew Luck",18.8089816022278,"QB",7000,372.162626772462,26.7,262.172284644195,70,70.83,4.72,-0.3,"IND"
"9","Dak Prescott",17.7393226796686,"QB",5900,332.594434778623,24,245.833333333333,50,66.49,2.29,-3.9,"DAL"
"10","Alex Smith",15.4413137954248,"QB",5000,323.806644061691,23.4,213.675213675214,90,54.66,2.79,-4.6,"KC"
"11","Philip Rivers",18.035980811445,"QB",6900,382.568603955351,22.9,301.310043668122,70,51.33,1.45,-0.9,"SD"
"12","Derek Carr",18.7588903414396,"QB",6800,362.494789202876,21.9,310.502283105023,70,48.8,1.39,-4.2,"OAK"
"13","Ben Roethlisberger",20.6925321764997,"QB",6700,323.788308886098,21.1,317.535545023697,90,58.35,2.22,0.4,"PIT"
"14","Tom Brady",21.6970780861941,"QB",7700,354.886495288023,20.6,373.78640776699,60,52.03,1.89,-1.5,"NE"
"15","Matt Ryan",20.1246541833383,"QB",7200,357.770122875505,20,360,70,57.26,3.75,-1.3,"ATL"
"16","Matt Barkley",21.0449199822868,"QB",5000,237.587028328377,18.9,264.550264550265,70,62.59,3.59,5.7,"CHI"
"17","Jameis Winston",23.4660252337765,"QB",6500,276.996207719237,18.5,351.351351351351,70,62.15,3.59,-0.6,"TB"
"18","Eli Manning",14.4773827556785,"QB",5800,400.624898704503,18.2,318.681318681319,50,64.17,1.93,2.6,"NYG"
"19","Matt Moore",14.0033914250624,"QB",5200,371.338616636349,16.2,320.987654320988,90,37.55,-0.17,2.1,"MIA"
"20","Drew Brees",23.8942757696867,"QB",7400,309.697605875461,16.1,459.627329192547,50,64.68,4.49,1.1,"NO"
"21","Joe Flacco",16.6181634611884,"QB",5800,349.015702820945,15.5,374.193548387097,90,45.78,1.23,-3,"BAL"
"22","Carson Palmer",18.0636452834518,"QB",5500,304.478963891003,15.3,359.477124183007,90,37.68,-0.67,-0.7,"ARI"
"23","Matthew Stafford",15.3795420951677,"QB",6100,396.630794483578,14.5,420.689655172414,50,71.28,3.32,1,"DET"
"24","Andy Dalton",12.6639555471527,"QB",5300,418.510628868374,13.7,386.861313868613,90,65.14,1.99,-0.9,"CIN"
"25","Cam Newton",14.5394811889232,"QB",6600,453.93641727933,13.5,488.888888888889,70,56.97,1.66,1,"CAR"
"26","Carson Wentz",7.53265466437394,"QB",5000,663.776612997772,11.8,423.728813559322,50,47.62,1.29,-3.4,"PHI"
"27","Robert Griffin",14.1768216795589,"QB",5100,359.742128050713,10.8,472.222222222222,90,46.05,0.36,-0.9,"CLE"
"28","Tom Savage",7.38369742037302,"QB",5000,677.167510440508,8.1,617.283950617284,90,42.67,1.19,-0.1,"HOU"
"29","Trevor Siemian",11.0487288447947,"QB",5300,479.693191357205,6.3,841.269841269841,90,45.89,2.19,0.5,"DEN"
"30","Jared Goff",10.9857126743628,"QB",5000,455.136607720357,6,833.333333333333,90,47.37,0.69,2.1,"LA"
"31","Bryce Petty",7.21302642290214,"QB",5000,693.190306931977,-1,-5000,90,32.29,-0.41,1.9,"NYJ"
