"","QBModel.Properties.Player_Name","QBP","QBModel.Properties.Position","QBModel.Properties.Salary","QBModel.Properties.Salary.QBP","QBModel.ActualPoints","QBModel.Properties.Salary.QBModel.ActualPoints","c.QBModel.Properties.OwnRank.","naQB","QBModel.Properties.ProjPlusMinus","QBModel.Properties.OppPlusMinus","QBModel.TeamName"
"1","Trevor Siemian",27.3926439815493,"QB",5100,186.181370569237,32,159.375,90,32.98,-1.14,-0.9,"DEN"
"2","Matthew Stafford",24.0366232628068,"QB",6800,282.901634129366,30.5,222.950819672131,80,44.68,1.19,-4.2,"DET"
"3","Jameis Winston",24.883008455609,"QB",6000,241.128399353476,30.5,196.72131147541,80,57.6,2.56,-1.1,"TB"
"4","Drew Brees",NA,"QB",7900,NA,29.9,264.214046822742,50,52.48,1.72,1.5,"NO"
"5","Aaron Rodgers",24.3190138814677,"QB",7700,316.624680487878,26.4,291.666666666667,70,69.11,3.49,5.5,"GB"
"6","Ryan Tannehill",14.5486369679269,"QB",6200,426.156760503967,25,248,60,64.24,4.69,1.3,"MIA"
"7","Carson Wentz",21.0217558305001,"QB",5500,261.633711491413,24,229.166666666667,80,49.38,2.13,1.1,"PHI"
"8","Dak Prescott",23.5112974565724,"QB",5700,242.436641811387,23.5,242.553191489362,80,55.68,2.36,4.5,"DAL"
"9","Brian Hoyer",23.912219343738,"QB",5000,209.09811540807,22.9,218.340611353712,90,37.65,3.19,-1.4,"CHI"
"10","Matt Ryan",NA,"QB",7400,NA,19.9,371.859296482412,50,52.93,2.39,5.1,"ATL"
"11","Kirk Cousins",15.6962105206596,"QB",6400,407.741727952502,19.3,331.60621761658,80,55.99,2.92,0,"WAS"
"12","Eli Manning",18.4437629827573,"QB",7000,379.532094754424,19,368.421052631579,80,41.24,1.42,3.4,"NYG"
"13","Andrew Luck",21.0294837578318,"QB",7600,361.397364173033,18.2,417.582417582418,70,68.95,3.32,2.3,"IND"
"14","Tyrod Taylor",14.3280061667293,"QB",5800,404.801612485905,17.4,333.333333333333,80,52.08,1.83,-5.9,"BUF"
"15","Cam Newton",10.6830465941171,"QB",7800,730.128800926065,16.1,484.472049689441,70,61.23,2.55,-3.9,"CAR"
"16","Philip Rivers",18.5597024532096,"QB",6700,360.997166678248,15.2,440.789473684211,60,48.4,2.82,-4.1,"SD"
"17","Jacoby Brissett",15.2556300171914,"QB",5000,327.747854029336,14.9,335.570469798658,50,25.3,1.09,-9.5,"NE"
"18","Case Keenum",17.8607042584349,"QB",5000,279.944168362718,14.7,340.136054421769,90,41.83,-0.21,1.4,"LA"
"19","Blake Bortles",22.7271010989509,"QB",6500,286.002159787112,14.5,448.275862068966,70,58.9,2.89,-7.9,"JAX"
"20","Russell Wilson",17.3267894591991,"QB",7100,409.77008560755,14,507.142857142857,80,72.32,3.69,-0.8,"SEA"
"21","Joe Flacco",11.1565691328201,"QB",6100,546.763070920717,13.8,442.028985507246,80,59.92,2.82,2.2,"BAL"
"22","Alex Smith",16.8718880216611,"QB",5800,343.76709900834,13.2,439.393939393939,80,45.17,1.23,0.5,"KC"
"23","Derek Carr",24.9763312484982,"QB",6900,276.261550639663,12.9,534.883720930233,80,51.27,2.45,-1.6,"OAK"
"24","Andy Dalton",12.9421445102327,"QB",5700,440.421600569618,11.2,508.928571428571,90,58.75,1.66,-0.4,"CIN"
"25","Cody Kessler",11.019064594204,"QB",5000,453.759024393957,10.7,467.289719626168,90,19.63,0.09,-8.3,"CLE"
"26","Sam Bradford",11.8235198021899,"QB",5300,448.25907079027,10.6,500,90,34.2,0.09,3.7,"MIN"
"27","Ben Roethlisberger",17.3546191937519,"QB",7300,420.637290769721,9,811.111111111111,80,47.97,2.32,-1.9,"PIT"
"28","Brock Osweiler",13.0242589695245,"QB",6000,460.678800539778,8.1,740.740740740741,50,40.49,1.36,2.3,"HOU"
"29","Marcus Mariota",17.3556935611953,"QB",5900,339.946080471914,7.8,756.410256410256,70,69.34,2.79,3.1,"TEN"
"30","Carson Palmer",18.2236509397885,"QB",7200,395.090974019916,7.5,960,80,35.26,0.45,2.2,"ARI"
"31","Blaine Gabbert",12.0940046231031,"QB",5000,413.427988149477,6,833.333333333333,90,26.38,0.09,-7.4,"SF"
"32","Ryan Fitzpatrick",7.83100299911805,"QB",5900,753.415622579186,3.7,1594.59459459459,80,58.47,2.89,-1.6,"NYJ"
