"","RBModel.Properties.Player_Name","RBP"
"1","Devonta Freeman",NA
"2","LeSean McCoy",23.5433308884163
"3","Ezekiel Elliott",30.72906749835
"4","Bilal Powell",13.3353747367507
"5","David Johnson",27.9202542177387
"6","Ryan Mathews",15.9249156501501
"7","Jordan Howard",14.0293860873283
"8","Tim Hightower",9.16408997692327
"9","Robert Turbin",10.2301514541634
"10","DeMarco Murray",19.1000000000018
"11","Frank Gore",18.8612944905377
"12","Le'Veon Bell",25.7687722755415
"13","Jonathan Stewart",13.5269918489222
"14","Derrick Henry",6.17069244436288
"15","Lamar Miller",19.18683171088
"16","Terrance West",10.2096150390555
"17","Jerick McKinnon",14.6772439480037
"18","Travaris Cadet",6.06578905977778
"19","Rob Kelley",11.9470766168514
"20","Duke Johnson",10.7987739327221
"21","Spencer Ware",11.0218947742332
"22","Dion Lewis",7.51293491456024
"23","Jeremy Hill",10.3732027878452
"24","T.J. Yeldon",10.1287676829222
"25","Mark Ingram",14.9122351515411
"26","Christine Michael",7.17990811193944
"27","Mike Gillislee",8.57146339927724
"28","Kenneth Dixon",11.4292837911268
"29","Zach Zenner",9.3343336523153
"30","Justin Forsett",9.30000000000223
"31","Latavius Murray",11.907553724807
"32","LeGarrette Blount",10.5662106634205
"33","Jalen Richard",9.42715052670533
"34","Tevin Coleman",NA
"35","Chris Thompson",11.378653838733
"36","Carlos Hyde",NA
"37","Rex Burkhead",7.18654580958487
"38","James White",7.83150995074922
"39","Kenneth Farrow",12.0108030046663
"40","Dwayne Washington",8.73372995249608
"41","Thomas Rawls",13.5812964420568
"42","Paul Perkins",8.00844208157305
"43","Devontae Booker",8.67399416530288
"44","Jay Ajayi",10.395265724074
"45","Kenjon Barner",5.01380690688296
"46","Charles Sims",4.23466851768424
"47","Todd Gurley",8.17121992003008
"48","Kyle Juszczyk",7.30530286120693
"49","Chris Ivory",4.77274375938704
"50","Doug Martin",5.12720508735948
"51","Lance Dunbar",4.2177341106769
"52","Shane Vereen",1.16164951420778
"53","Rashad Jennings",6.64033050894863
"54","Fozzy Whittaker",3.95484256386333
"55","Jeremy Langford",8.6564905580681
"56","Matt Asiata",4.86957543826431
"57","Isaiah Crowell",8.85178154927547
"58","Adrian Peterson",5.15586853864645
"59","Jamize Olawale",2.84826362612232
"60","Marcel Reece",1.90000000000142
"61","Andre Ellington",1.21061807219899
"62","Darren McFadden",NA
"63","Alfred Blue",2.46702979763008
"64","Shaun Draughn",NA
"65","Charcandrick West",-0.877025144595297
"66","Damien Williams",3.49364992472517
"67","Aaron Ripkowski",0.651677989893168
"68","Taiwan Jones",-4.38022181284326
"69","Alex Collins",5.42151676010778
"70","Joique Bell",9.5094765395487e-13
"71","Khiry Robinson",0.155995211532785
