"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"1","Alfred Blue",10.1126757280282,"RB",4300,425.208927453507,0,Inf,70,76.6,3.54,1,"HOU"
"2","Akeem Hunt",1.86396258529782,"RB",3400,1824.07094799961,0,Inf,90,55.6,0.39,1,"HOU"
"3","DeMarco Murray",0.0215783743224416,"RB",6300,291958.972713157,0,Inf,80,73.4,1.66,-1.7,"TEN"
"4","Derrick Henry",10.5628247575491,"RB",4900,463.891062520755,0,Inf,90,52.25,-1.67,-1.7,"TEN"
"5","Mike Gillislee",7.14261403670943,"RB",4500,630.021442692027,0,Inf,90,55.05,-1.53,0.7,"BUF"
"6","LeSean McCoy",14.7579959759391,"RB",8900,603.062910066531,0,Inf,50,65.85,-4.22,0.7,"BUF"
"7","Bilal Powell",12.6325377834501,"RB",6500,514.544275380331,0,Inf,90,62.65,-2.71,2.5,"NYJ"
"8","Brandon Wilds",15.8974803756878,"RB",3000,188.709149444081,0,Inf,90,78.95,4.33,2.5,"NYJ"
"9","Kyle Juszczyk",3.06125995672317,"RB",3000,979.988645985902,0,Inf,90,44.65,-0.87,-0.4,"BAL"
"10","Terrance West",1.5646472854485,"RB",4400,2812.13538726638,0,Inf,90,61.5,1.25,-0.4,"BAL"
"11","Kenneth Dixon",8.19765321617936,"RB",4200,512.34175065013,0,Inf,90,77.4,4.52,-0.4,"BAL"
"12","Rex Burkhead",24.7477914723376,"RB",3500,141.426761410698,0,Inf,60,81.45,9.51,-1.1,"CIN"
"13","Rashad Jennings",3.28889715633352,"RB",4200,1277.02381690834,0,Inf,90,40.1,-3.98,-0.6,"NYG"
"14","Bobby Rainey",4.14355731095113,"RB",3000,724.015567993042,0,Inf,90,62.3,2.53,-0.6,"NYG"
"15","Paul Perkins",11.5236297172523,"RB",3400,295.045925929899,0,Inf,90,74.6,4.19,-0.6,"NYG"
"16","Chris Thompson",8.93786953955024,"RB",3700,413.968897579835,0,Inf,90,71.6,2.34,-0.1,"WAS"
"17","Rob Kelley",13.0955441482928,"RB",4400,335.992147418601,0,Inf,60,85.75,5.35,-0.1,"WAS"
"18","Christine Michael",NA,"RB",3500,NA,0,Inf,90,47.6,-0.89,-2.2,"GB"
"19","Ty Montgomery",NA,"RB",5700,NA,0,Inf,70,73.95,2.76,-2.2,"GB"
"20","Zach Zenner",NA,"RB",3200,NA,0,Inf,80,78,4.26,0.8,"DET"
"21","Dwayne Washington",NA,"RB",3400,NA,0,Inf,90,55.65,-0.01,0.8,"DET"
"22","Corey Grant",6.22119244325961,"RB",3000,482.222665085754,0,Inf,90,37.05,-1.87,-0.5,"JAX"
"23","Frank Gore",13.2976268232223,"RB",4700,353.446525645626,0,Inf,80,83.15,3.9,-1.2,"IND"
"24","Robert Turbin",3.95647783106374,"RB",3600,909.900207637989,0,Inf,90,58.95,0.62,-1.2,"IND"
"25","Lance Dunbar",-2.80712088481952,"RB",3000,-1068.71065518537,0,Inf,90,48.1,-0.37,0.5,"DAL"
"26","Darren McFadden",-1.31304260994492,"RB",4300,-3274.83660273628,0,Inf,90,50.6,-1.56,0.5,"DAL"
"27","Ezekiel Elliott",5.35354134105949,"RB",7400,1382.26260498728,0,Inf,90,46.75,-9.96,0.5,"DAL"
"28","Darren Sproles",15.9924485597689,"RB",4000,250.11804696765,0,Inf,80,85.65,6.39,0,"PHI"
"29","Byron Marshall",3.65345360782445,"RB",3000,821.140849735993,0,Inf,90,71.2,3.23,0,"PHI"
"30","Jeremy Langford",NA,"RB",4000,NA,0,Inf,90,39.8,-4.21,0,"CHI"
"31","Jordan Howard",NA,"RB",6800,NA,0,Inf,80,77.75,3.04,0,"CHI"
"32","Matt Asiata",NA,"RB",3100,NA,0,Inf,90,79.7,5.04,-0.8,"MIN"
"33","Jerick McKinnon",NA,"RB",4000,NA,0,Inf,70,76.55,3.89,-0.8,"MIN"
"34","Mike Tolbert",-2.99433258751405,"RB",3000,-1001.89271309058,0,Inf,90,30.9,-2.27,-2.2,"CAR"
"35","Fozzy Whittaker",-3.6189538744247,"RB",3000,-828.968841300004,0,Inf,90,32.95,-1.97,-2.2,"CAR"
"36","Jacquizz Rodgers",9.92318482206986,"RB",4900,493.793080332643,0,Inf,30,82.1,5.43,0,"TB"
"37","Isaiah Crowell",20.3995860185424,"RB",4400,215.690651565212,0,Inf,80,77.7,4.45,-1.5,"CLE"
"38","Duke Johnson",-50.1241405723451,"RB",3500,-69.826633634713,0,Inf,90,71.25,3.81,-1.5,"CLE"
"39","Fitzgerald Toussaint",6.64809403242264,"RB",4300,646.801922329764,0,Inf,70,84.65,5.14,0.9,"PIT"
"40","DeAngelo Williams",8.00475484332396,"RB",5500,687.091623372707,0,Inf,60,83.7,3.33,0.9,"PIT"
"41","Travaris Cadet",NA,"RB",3000,NA,0,Inf,90,61.75,0.93,1.7,"NO"
"42","Tim Hightower",NA,"RB",4000,NA,0,Inf,90,61.35,-0.11,1.7,"NO"
"43","Mark Ingram",NA,"RB",5600,NA,0,Inf,50,81.4,2.85,1.7,"NO"
"44","Devonta Freeman",NA,"RB",7000,NA,0,Inf,50,74.5,1.57,-0.7,"ATL"
"45","Tevin Coleman",NA,"RB",5100,NA,0,Inf,80,64.85,0.46,-0.7,"ATL"
"46","LeGarrette Blount",4.56868741390048,"RB",5700,1247.6231100113,0,Inf,60,75.8,0.36,1.5,"NE"
