"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"1","Le'Veon Bell",40.396123174764,"RB",10300,254.974962707177,30.4,338.815789473684,50,97.25,6.19,1.7,"PIT"
"2","Thomas Rawls",13.4172177879527,"RB",7100,529.17080964245,22.7,312.775330396476,70,62.25,-1.71,-1.6,"SEA"
"3","Lamar Miller",24.2768778528432,"RB",7100,292.459353424167,13.3,533.834586466165,20,90.25,3.99,2.4,"HOU"
"4","Zach Zenner",38.8465183799861,"RB",6200,159.602462680266,11.8,525.423728813559,20,81.65,3.86,0.7,"DET"
"5","Latavius Murray",12.1666889632889,"RB",6700,550.683922323995,11.6,577.586206896552,60,63.6,0.41,-0.9,"OAK"
"6","Damien Williams",12.1452451690922,"RB",4900,403.450068877139,8.3,590.361445783132,90,49.6,-1.33,0.9,"MIA"
"7","Ty Montgomery",26.948205461644,"RB",6800,252.33591192848,8.3,819.277108433735,60,83.25,2.78,-0.1,"GB"
"8","Aaron Ripkowski",4.28576334607629,"RB",4700,1096.65411280885,8.2,573.170731707317,80,51.5,-0.97,-0.1,"GB"
"9","Paul Perkins",23.9390843386196,"RB",5900,246.458883579012,7.2,819.444444444444,50,63.45,-0.34,2.6,"NYG"
"10","Jay Ajayi",32.3394775000281,"RB",8300,256.65226038339,6,1383.33333333333,30,77.3,0.01,0.9,"MIA"
"11","Christine Michael",-4.60805849890684,"RB",4900,-1063.35455618943,4.7,1042.55319148936,90,45.3,-2.03,-0.1,"GB"
"12","Rashad Jennings",14.0729455000635,"RB",5400,383.71497992198,3.8,1421.05263157895,70,77.05,2.51,2.6,"NYG"
"13","Alex Collins",17.3416582153317,"RB",5800,334.454752133924,2.9,2000,90,60.65,-0.11,-1.6,"SEA"
"14","Jalen Richard",12.1535891680155,"RB",5200,427.857148050125,2.1,2476.19047619048,80,45.7,-1.13,-0.9,"OAK"
"15","DeAndre Washington",11.2171713674564,"RB",4500,401.17065636133,1.6,2812.5,80,57.9,1.79,-0.9,"OAK"
"16","Alfred Blue",13.2944705363429,"RB",6000,451.315453563787,0.4,15000,90,52.65,-2.77,2.4,"HOU"
"17","DeAngelo Williams",-12.5514633547585,"RB",4500,-358.523932453978,0.2,22500,90,49.9,-0.81,1.7,"PIT"
"18","Dwayne Washington",7.38797313670359,"RB",4900,663.240094317169,0,Inf,90,42.15,-1.93,0.7,"DET"
"19","Kenyan Drake",15.6438054533148,"RB",5100,326.007633834346,0,Inf,90,40.4,-2.69,0.9,"MIA"
