"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"1","Ty Montgomery",13.1672173509145,"RB",5300,402.514810741839,26.1,203.065134099617,70,67.2,1.5,-1.1,"GB"
"2","Dion Lewis",14.5389438475422,"RB",3900,268.245069304624,25.4,153.543307086614,8,70.3,2.77,-2.6,"NE"
"3","Devonta Freeman",14.425015750585,"RB",5900,409.011685117968,22.5,262.222222222222,8,79.7,3.39,-1.7,"ATL"
"4","Le'Veon Bell",27.3896916520211,"RB",10500,383.355903870688,21.6,486.111111111111,20,78.15,0.14,0.2,"PIT"
"5","Tevin Coleman",6.79865167707873,"RB",4500,661.895948452764,16.9,266.272189349112,70,60.1,0.37,-1.7,"ATL"
"6","Ezekiel Elliott",17.0410960976672,"RB",8500,498.794206152243,16.3,521.472392638037,50,78.85,0.51,0.3,"DAL"
"7","Lamar Miller",14.0053481973069,"RB",5600,399.847252714277,12.9,434.108527131783,80,61.5,0.55,-2.6,"HOU"
"8","Spencer Ware",8.38825179041485,"RB",5200,619.914629403706,11.6,448.275862068966,50,76.7,2.98,-1.7,"KC"
"9","James White",11.2073412443547,"RB",3400,303.372577480197,8.9,382.022471910112,70,63.25,2.19,-2.6,"NE"
"10","Alex Collins",8.88229421475372,"RB",3500,394.042340343378,5.1,686.274509803922,90,52.1,-1.39,0.8,"SEA"
"11","Thomas Rawls",15.1054121301028,"RB",6900,456.789920100847,3.4,2029.41176470588,70,61.7,-3.74,0.8,"SEA"
"12","LeGarrette Blount",14.2018779855734,"RB",5800,408.396692739635,3.1,1870.96774193548,30,64.2,-0.52,-2.6,"NE"
"13","Charcandrick West",3.7270581010628,"RB",3400,912.247651580871,2.3,1478.26086956522,90,47.75,-1.21,-1.7,"KC"
"14","Marcel Reece",5.13553662199237,"RB",3000,584.164853805702,2,1500,90,47.2,-1.27,0.8,"SEA"
"15","Alfred Blue",4.52462920434482,"RB",3300,729.341532966091,0.2,16500,90,38.7,-1.53,-2.6,"HOU"
"16","DeAngelo Williams",1.52383826410625,"RB",3200,2099.9603930256,0,Inf,90,43.05,-1.94,0.2,"PIT"
"17","Christine Michael",3.73500660872188,"RB",4300,1151.26971662078,0,Inf,90,40.7,-4.06,-1.1,"GB"
"18","Lance Dunbar",0.271569814814315,"RB",3000,11046.8831083132,0,Inf,90,43.1,-2.17,0.3,"DAL"
"19","Darren McFadden",1.8222306757334,"RB",3000,1646.33382587119,0,Inf,90,50.55,-0.87,0.3,"DAL"
