"","TEModel.Properties.Player_Name","TEP","TEModel.Properties.Position","TEModel.Properties.Salary","TEModel.Properties.Salary.TEP","TEModel.ActualPoints","TEModel.Properties.Salary.TEModel.ActualPoints","c.TEModel.Properties.OwnRank.","naTE","TEModel.Properties.ProjPlusMinus","TEModel.Properties.OppPlusMinus","TEModel.TeamName"
"1","Travis Kelce",10.93172891602,"TE",5000,457.384192236299,36,138.888888888889,90,55.35,3.17,-0.3,"KC"
"2","Charles Clay",8.12202466542514,"TE",3200,393.990431181792,28.5,112.280701754386,90,56.95,2.79,4.6,"BUF"
"3","Antonio Gates",10.0478754481261,"TE",4400,437.903517287388,23.4,188.034188034188,80,53.68,2.91,5.9,"SD"
"4","Eric Ebron",12.5664567313933,"TE",3600,286.476934345904,17.3,208.092485549133,50,82.46,4.63,2.4,"DET"
"5","Dennis Pitta",11.0448605357123,"TE",3000,271.619545606742,15.5,193.548387096774,90,63.13,3.67,-0.7,"BAL"
"6","Jimmy Graham",10.8038568452004,"TE",4500,416.517921745613,12.3,365.853658536585,60,61.32,3.02,-2.5,"SEA"
"7","Greg Olsen",17.5316103569237,"TE",5200,296.607093936831,11.9,436.974789915966,50,74.65,7.19,4.9,"CAR"
"8","Jason Witten",10.1923285131694,"TE",3400,333.584224214013,11.3,300.884955752212,50,65.63,4.11,0.9,"DAL"
"9","Kyle Rudolph",13.2148977829216,"TE",4900,370.793636128805,11.3,433.628318584071,70,54.31,2.46,1.3,"MIN"
"10","Delanie Walker",12.2584378089648,"TE",4300,350.778791474989,11.3,380.530973451327,60,82.28,4.2,1.7,"TEN"
"11","Richard Rodgers",7.04397090724055,"TE",2500,354.913447673418,10,250,90,47.04,-1.58,2.3,"GB"
"12","Clive Walford",7.68257890373219,"TE",2500,325.411561837068,10,250,90,60.93,1.32,2.8,"OAK"
"13","Martellus Bennett",6.99529980200954,"TE",4100,586.107831836199,9.9,414.141414141414,90,56.08,1.88,2.9,"NE"
"14","Jack Doyle",9.43520206058786,"TE",2800,296.761000137558,9.6,291.666666666667,90,55.43,2.75,1,"IND"
"15","Gary Barnidge",6.45731406028685,"TE",2800,433.61682177119,9.2,304.347826086957,90,66.59,3.35,2.3,"CLE"
"16","Xavier Grimble",4.94937084808448,"TE",2500,505.114705835299,9,277.777777777778,90,46.99,-0.48,0.3,"PIT"
"17","Jesse James",8.77598373110162,"TE",2500,284.868349418212,8.9,280.898876404494,90,71.13,3.62,0.3,"PIT"
"18","Cameron Brate",6.28822790383836,"TE",3900,620.206528713666,8.2,475.609756097561,40,66.65,5.76,1.2,"TB"
"19","C.J. Fiedorowicz",9.59573599603505,"TE",3700,385.587932132443,8.2,451.219512195122,90,58.39,3.24,4.7,"HOU"
"20","Garrett Celek",3.44559184828428,"TE",2900,841.655114039129,7.9,367.088607594937,90,41.47,1.56,-1.5,"SF"
"21","C.J. Uzomah",8.30249267303483,"TE",2500,301.114387986105,7.8,320.51282051282,90,71.8,5.22,1.1,"CIN"
"22","Will Tye",9.4309724738268,"TE",2800,296.894091014545,7.3,383.561643835616,50,49.72,1.75,-2.5,"NYG"
"23","Jared Cook",11.2949611499873,"TE",3000,265.605163237182,6.7,447.761194029851,90,57.38,1.77,2.3,"GB"
"24","Lance Kendricks",7.63980133143936,"TE",2900,379.591022618075,6.6,439.393939393939,90,60.34,3.06,0.3,"LA"
"25","Jeff Heuerman",6.62049461523265,"TE",2500,377.615290895021,6.2,403.225806451613,90,56.22,2.42,-1.8,"DEN"
"26","Dwayne Allen",7.68262966612212,"TE",2600,338.425788173176,6.1,426.229508196721,90,75.27,2.33,1,"IND"
"27","Jermaine Gresham",4.91867281196016,"TE",2500,508.26718823847,6,416.666666666667,90,70.93,3.72,-0.3,"ARI"
"28","Zach Ertz",9.94122899284197,"TE",5300,533.133277969574,5.3,1000,50,56.96,3.4,3.7,"PHI"
"29","Coby Fleener",7.18782412796542,"TE",3100,431.284898574373,5,620,80,65.43,3.78,1.1,"NO"
"30","Daniel Brown",9.67146650612758,"TE",2500,258.49233913141,3.9,641.025641025641,90,73.23,3.12,8.6,"CHI"
"31","John Phillips",4.17933822798466,"TE",2500,598.180827591343,3.5,714.285714285714,90,39.12,-2.18,1.1,"NO"
"32","Ben Koyack",5.79491808241023,"TE",2500,431.412483221885,3.2,781.25,90,59.94,2.02,0.7,"JAX"
"33","Dion Sims",8.06470866222196,"TE",2600,322.39230316891,3,866.666666666667,90,64.33,1.83,1.3,"MIA"
"34","Austin Seferian-Jenkins",3.50567634219504,"TE",2500,713.129152828367,2.7,925.925925925926,90,43.1,-1.58,-0.7,"NYJ"
"35","Vernon Davis",4.28243430381822,"TE",3000,700.536140700443,2.3,1304.34782608696,40,71.56,6.37,2.5,"WAS"
