"","TEModel.Properties.Player_Name","TEP","TEModel.Properties.Position","TEModel.Properties.Salary","TEModel.Properties.Salary.TEP","TEModel.ActualPoints","TEModel.Properties.Salary.TEModel.ActualPoints","c.TEModel.Properties.OwnRank.","naTE","TEModel.Properties.ProjPlusMinus","TEModel.Properties.OppPlusMinus","TEModel.TeamName"
"1","C.J. Fiedorowicz",10.4649618234717,"TE",3900,372.6721669689,0,Inf,90,51.24,2.66,-0.2,"HOU"
"2","Ryan Griffin",10.0058031857074,"TE",2900,289.83180522104,0,Inf,90,39.89,0.66,-0.2,"HOU"
"3","Delanie Walker",32.4486899039893,"TE",4000,123.271540756665,0,Inf,80,81.07,4.07,0.4,"TEN"
"4","Charles Clay",6.00949368948469,"TE",3500,582.411793879448,0,Inf,80,75.51,4.02,3,"BUF"
"5","Brandon Bostick",-1.8062234763915,"TE",2500,-1384.10336964202,0,Inf,90,45.48,-0.48,-0.1,"NYJ"
"6","Dennis Pitta",14.3775070340677,"TE",3400,236.480496371426,0,Inf,80,59.34,3.71,3.4,"BAL"
"7","Tyler Kroft",7.17098665560192,"TE",2500,348.627060691435,0,Inf,90,48.32,-0.08,0.8,"CIN"
"8","C.J. Uzomah",14.448966737407,"TE",2500,173.022752798492,0,Inf,90,70.74,4.12,0.8,"CIN"
"9","Will Tye",16.3972404584956,"TE",2800,170.760440275747,0,Inf,90,56.77,1.85,6.2,"NYG"
"10","Jerell Adams",8.45424765567464,"TE",2500,295.709340655754,0,Inf,90,42.9,-2.08,6.2,"NYG"
"11","Vernon Davis",12.7147664894077,"TE",3300,259.540747582674,0,Inf,90,49.77,0.7,1.6,"WAS"
"12","Jared Cook",NA,"TE",3100,NA,0,Inf,90,50.8,2.78,0.5,"GB"
"13","Richard Rodgers",NA,"TE",2500,NA,0,Inf,90,48.51,-1.18,0.5,"GB"
"14","Eric Ebron",NA,"TE",3600,NA,0,Inf,70,88.17,5.73,1.5,"DET"
"15","Neal Sterling",11.3266909891792,"TE",2500,220.717595490893,0,Inf,90,66.22,2.92,1.4,"JAX"
"16","Dwayne Allen",4.09058303281968,"TE",2600,635.606215334002,0,Inf,90,78.4,2.63,1.7,"IND"
"17","Jack Doyle",5.91013521589967,"TE",3200,541.442772982797,0,Inf,90,57.5,3.09,1.7,"IND"
"18","Jason Witten",9.92803579554539,"TE",3100,312.247061134785,0,Inf,90,57.65,3.58,-3.1,"DAL"
"19","Trey Burton",10.0124428927105,"TE",2500,249.689314265165,0,Inf,90,54.35,0.32,3.4,"PHI"
"20","Zach Ertz",17.9472354252561,"TE",4800,267.450662247693,0,Inf,60,61.17,4.05,3.4,"PHI"
"21","Daniel Brown",NA,"TE",2500,NA,0,Inf,90,56.32,0.82,1.6,"CHI"
