"","TEModel.Properties.Player_Name","TEP","TEModel.Properties.Position","TEModel.Properties.Salary","TEModel.Properties.Salary.TEP","TEModel.ActualPoints","TEModel.Properties.Salary.TEModel.ActualPoints","c.TEModel.Properties.OwnRank.","naTE","TEModel.Properties.ProjPlusMinus","TEModel.Properties.OppPlusMinus","TEModel.TeamName"
"1","Luke Willson",2.12852079649206,"TE",2500,1174.52458257404,0,Inf,90,44.43,-1.58,3.4,"SEA"
"2","Jimmy Graham",11.3761225705299,"TE",4900,430.726723417482,0,Inf,60,67.88,3.46,3.4,"SEA"
"3","Levine Toilolo",1.49608960846169,"TE",2500,1671.02290254562,0,Inf,90,43.48,-2.18,-1.1,"ATL"
"4","Austin Hooper",2.8243493586713,"TE",2900,1026.7851571182,0,Inf,90,35.32,-0.14,-1.1,"ATL"
"5","Ryan Griffin",8.25543582002678,"TE",2600,314.944002555587,0,Inf,90,38.17,0.23,-0.4,"HOU"
"6","C.J. Fiedorowicz",9.0831900147306,"TE",3600,396.336528704312,0,Inf,70,58.26,2.83,-0.4,"HOU"
"7","Martellus Bennett",7.26408581394571,"TE",4000,550.654287745436,0,Inf,60,58.14,2.07,-0.6,"NE"
"8","Jesse James",3.13593459973804,"TE",2800,892.875763491337,0,Inf,90,40.91,0.65,1.8,"PIT"
"9","Travis Kelce",6.62814970594342,"TE",6100,920.317173061159,0,Inf,40,62.75,4.98,1.3,"KC"
"10","Richard Rodgers",4.35234802605795,"TE",2500,574.402594882635,0,Inf,90,53.79,-0.58,7.2,"GB"
"11","Jared Cook",1.67591181442317,"TE",3900,2327.09141760084,0,Inf,8,58.37,3.26,7.2,"GB"
"12","Jason Witten",11.7589237914859,"TE",3500,297.646286519367,0,Inf,50,55.77,3.52,0.4,"DAL"
