"","WRModel.Properties.Player_Name","WRP"
"1","Emmanuel Sanders",19.798714887833
"2","T.Y. Hilton",16.4432126636603
"3","Chris Hogan",12.6422542366511
"4","Demaryius Thomas",16.3624650298554
"5","Tyreek Hill",19.909246486012
"6","Davante Adams",12.5559805756426
"7","DeSean Jackson",14.4405420767444
"8","Jordy Nelson",19.2656107624396
"9","Kenny Stills",13.2054854991147
"10","Jamarcus Nelson",7.89916920789043
"11","Odell Beckham",16.6462379550057
"12","Marqise Lee",8.1074314138418
"13","Cameron Meredith",NA
"14","Dontrelle Inman",9.08297177102275
"15","Terrance Williams",8.51470686589524
"16","Ty Montgomery",12.4670043886173
"17","Taylor Gabriel",11.7046995645121
"18","Adam Thielen",12.488327704168
"19","Robby Anderson",6.72009800888272
"20","Pierre Garcon",12.8844314027312
"21","Jarvis Landry",17.9834753425745
"22","Jordan Matthews",14.725811432121
"23","Tavon Austin",4.33859647094975
"24","Sammy Watkins",6.99934132977998
"25","Kenny Britt",10.2427065679276
"26","Tyler Boyd",9.14200080816786
"27","Willie Snead",13.0864383233081
"28","Julian Edelman",15.8793218105981
"29","Malcolm Mitchell",7.78053873108987
"30","Anquan Boldin",NA
"31","Antonio Brown",19.8421827917539
"32","Golden Tate",NA
"33","Devin Funchess",3.61537745053954
"34","Brandin Cooks",19.9908583067146
"35","Marvin Jones",NA
"36","Doug Baldwin",9.46111505359982
"37","Mike Wallace",11.2260037706069
"38","Jeremy Kerley",9.30694680862002
"39","Brandon Coleman",9.97170382419407
"40","Steve Smith",13.4169786960075
"41","Tyler Lockett",7.87643491878315
"42","Chris Conley",8.09780297262397
"43","Justin Hardy",2.25774891938189
"44","Tyrell Williams",9.38421552368638
"45","Stefon Diggs",11.7036923787982
"46","Mike Evans",12.38431899496
"47","Breshad Perriman",5.64176991049068
"48","Cole Beasley",9.35192672169117
"49","Amari Cooper",12.2795455626389
"50","Josh Bellamy",NA
"51","Aldrick Robinson",6.45037673601339
"52","Quinton Patton",6.71981816758837
"53","Sterling Shepard",13.7202326382138
"54","Brandon Marshall",12.0514048206141
"55","Randall Cobb",10.6386705632701
"56","Michael Crabtree",12.9084212070583
"57","Quincy Enunwa",7.44599180847511
"58","Corey Coleman",8.215130777034
"59","Jamison Crowder",12.9390188048434
"60","DeAndre Hopkins",11.9466840963672
"61","Brandon LaFell",11.7254447644603
"62","Eli Rogers",10.5449311883188
"63","Phillip Dorsett",7.15576488293658
"64","Deonte Thompson",NA
"65","Cordarrelle Patterson",8.51693758822755
"66","Jordan Taylor",5.6545885201824
"67","Ted Ginn",7.67039505340848
"68","Will Fuller",9.83300425094908
"69","Larry Fitzgerald",12.2898837790125
"70","Nelson Agholor",6.7422712335623
"71","Robert Woods",3.61827582153701
"72","Michael Floyd",9.24715806541286
"73","Rishard Matthews",6.20896758877337
"74","DeVante Parker",11.4208245828925
"75","Seth Roberts",5.81810566915546
"76","Philly Brown",1.7239826119006
"77","Allen Robinson",9.54904968041873
"78","Russell Shepard",9.51687683588323
"79","Alex Erickson",0.395872181095206
"80","Paul Turner",0.0273972526704875
"81","Jeremy Maclin",10.3061558306067
"82","Cobi Hamilton",5.35999789471931
"83","Kelvin Benjamin",8.38390883149901
"84","Harry Douglas",NA
"85","Brian Quick",7.21575289680668
"86","Kamar Aiken",6.72102398436458
"87","Cody Core",0.187115359627791
"88","Rod Streater",3.24760763873254
"89","Jermaine Kearse",3.39969123621279
"90","Andrew Hawkins",3.73596527813528
"91","Victor Cruz",10.9809034386387
"92","Terrelle Pryor",7.28456899987744
"93","Dez Bryant",12.0968386790171
"94","Andre Holmes",1.46574790814073
"95","Albert Wilson",8.85485801693908
"96","Jordan Norwood",3.77783981742506
"97","Tajae Sharpe",2.56553646074731
"98","Donte Moncrief",7.76808287763902
"99","Sammie Coates",5.37269130364573
"100","Marquise Goodwin",5.80485065895285
"101","Justin Hunter",2.61591251015739
"102","John Brown",2.68897343081468
"103","Andre Roberts",NA
"104","Arrelious Benn",-1.67007900564453e-12
"105","Tommylee Lewis",NA
"106","Freddie Martino",4.56920246397681
"107","Ryan Grant",1.22880591022543
"108","Bryce Treggs",2.19694262755344
"109","Jalin Marshall",4.0871711195813
"110","Torrey Smith",7.38841256478956
"111","Brice Butler",4.25792026513259
"112","Roger Lewis",0.528790467902374
"113","Julio Jones",NA
"114","Travis Benjamin",7.82756438941008
