"","WRModel.Properties.Player_Name","WRP","WRModel.Properties.Position","WRModel.Properties.Salary","WRModel.Properties.Salary.WRP","WRModel.ActualPoints","WRModel.Properties.Salary.WRModel.ActualPoints","c.WRModel.Properties.OwnRank.","naWR","WRModel.Properties.ProjPlusMinus","WRModel.Properties.OppPlusMinus","WRModel.TeamName"
"1","Adam Thielen",11.5613222584773,"WR",4600,397.878365221336,47.6,96.6386554621849,90,72.25,2.65,1.9,"MIN"
"2","Doug Baldwin",17.7938410613909,"WR",6000,337.195323893209,39.7,151.133501259446,80,79.7,2.94,1.4,"SEA"
"3","Jordy Nelson",15.5908579107593,"WR",7000,448.981065703209,39.4,177.664974619289,40,81.65,3.55,-1.3,"GB"
"4","Cameron Meredith",13.4836679509318,"WR",4700,348.569841463294,31.5,149.206349206349,50,70.7,2.62,-1.2,"CHI"
"5","Sammy Watkins",9.51174195476689,"WR",5000,525.666068715648,31.4,159.235668789809,80,61.8,1.03,-1.1,"BUF"
"6","Odell Beckham",22.6739043248637,"WR",8600,379.290653995105,29,296.551724137931,50,76.95,2.38,0.3,"NYG"
"7","Brandon LaFell",10.9872737567294,"WR",4800,436.869063816686,28,171.428571428571,90,70.3,2.59,-1.3,"CIN"
"8","Dez Bryant",16.60371100762,"WR",6500,391.478748155575,27.4,237.226277372263,50,75.55,2.8,-1.6,"DAL"
"9","Allen Robinson",11.4417509578888,"WR",4600,402.03636811623,26.7,172.284644194757,70,76.5,2.65,1.7,"JAX"
"10","Antonio Brown",23.1247537589245,"WR",8200,354.598370451204,25.6,320.3125,90,90.9,5.6,-0.1,"PIT"
"11","Jamarcus Nelson",10.0003450264847,"WR",4400,439.984819358446,25.2,174.603174603175,80,66,1.91,0.3,"ARI"
"12","Steve Smith",13.8036303898483,"WR",5100,369.468020800581,22.9,222.707423580786,90,75.05,3.31,-1.8,"BAL"
"13","Mike Evans",16.4289690318985,"WR",8500,517.378782776715,22.7,374.449339207048,50,73.4,2.01,-0.5,"TB"
"14","T.Y. Hilton",15.9036254989508,"WR",7800,490.45420495563,19.5,400,40,73.15,2.11,-1.1,"IND"
"15","DeSean Jackson",12.9067490061592,"WR",5500,426.133645070139,19.4,283.505154639175,70,67.85,1.99,-0.4,"WAS"
"16","Sterling Shepard",14.0761985845543,"WR",4600,326.792775220402,19.3,238.341968911917,50,70.55,2.15,0.3,"NYG"
"17","DeVante Parker",11.7295745883652,"WR",4200,358.06925207382,18.5,227.027027027027,90,68.8,2.17,-1.6,"MIA"
"18","Rod Streater",7.01083929752683,"WR",3000,427.908824134407,18.3,163.934426229508,90,63.3,1.92,1.6,"SF"
