"","WRModel.Properties.Player_Name","WRP","WRModel.Properties.Position","WRModel.Properties.Salary","WRModel.Properties.Salary.WRP","WRModel.ActualPoints","WRModel.Properties.Salary.WRModel.ActualPoints","c.WRModel.Properties.OwnRank.","naWR","WRModel.Properties.ProjPlusMinus","WRModel.Properties.OppPlusMinus","WRModel.TeamName"
"1","DeAndre Hopkins",6.80065681051751,"WR",6500,955.790033390227,0,Inf,80,58.1,-0.5,2.8,"HOU"
"2","Keith Mumphery",-1.90467190630188,"WR",3000,-1575.07442099296,0,Inf,90,37.55,-2.38,2.8,"HOU"
"3","Will Fuller",3.17575387765209,"WR",4500,1416.98638287642,0,Inf,80,59.65,0.58,2.8,"HOU"
"4","Harry Douglas",4.24339174225259,"WR",3000,706.98162748638,0,Inf,90,41.7,-0.88,-0.2,"TEN"
"5","Rishard Matthews",8.68703191796305,"WR",4100,471.967875647149,0,Inf,80,85.55,5.2,-0.2,"TEN"
"6","Tajae Sharpe",5.42868475430352,"WR",3100,571.040710651418,0,Inf,90,56.2,0.89,-0.2,"TEN"
"7","Marquise Goodwin",0.478417601304079,"WR",3200,6688.7171192644,0,Inf,90,38.3,-1.34,-2.8,"BUF"
"8","Sammy Watkins",1.74447746467679,"WR",5800,3324.7778302912,0,Inf,80,63.4,1.4,-2.8,"BUF"
"9","Robert Woods",0.297632430255338,"WR",3600,12095.4561198575,0,Inf,90,38.5,-1.55,-2.8,"BUF"
"10","Quincy Enunwa",12.5594147373268,"WR",3800,302.561869280924,0,Inf,90,72.2,3.79,-2,"NYJ"
"11","Robby Anderson",11.3536899726939,"WR",4400,387.539206247676,0,Inf,90,60.85,1.71,-2,"NYJ"
"12","Charone Peake",6.05524563139749,"WR",3000,495.438200631281,0,Inf,90,44.7,0.12,-2,"NYJ"
"13","Kamar Aiken",-0.37914722470402,"WR",3000,-7912.49362920152,0,Inf,90,32.55,-1.78,-3.3,"BAL"
"14","Steve Smith",12.0688559418241,"WR",4900,406.003686150506,0,Inf,40,81.7,7.16,-3.3,"BAL"
"15","Mike Wallace",8.43598049604365,"WR",4600,545.283384919789,0,Inf,90,62.3,1.85,-3.3,"BAL"
"16","Breshad Perriman",1.74536318490908,"WR",3000,1718.83996748578,0,Inf,90,40.9,-0.58,-3.3,"BAL"
"17","Brandon LaFell",14.7617763871726,"WR",4500,304.841360685448,0,Inf,70,83.5,5.28,0.1,"CIN"
"18","James Wright",4.61807372104531,"WR",3000,649.621504812389,0,Inf,90,29.55,-3.18,0.1,"CIN"
"19","Tyler Boyd",12.7096605528915,"WR",4000,314.721229835677,0,Inf,90,76.55,3.83,0.1,"CIN"
"20","Cody Core",10.1208626769468,"WR",3000,296.417419715947,0,Inf,90,57.7,1.42,0.1,"CIN"
"21","Odell Beckham",15.3536895297986,"WR",9000,586.17832427396,0,Inf,80,27.15,-7.94,-0.2,"NYG"
"22","Victor Cruz",6.86780183391797,"WR",3800,553.306588031263,0,Inf,90,28.55,-3.01,-0.2,"NYG"
"23","Dwayne Harris",7.75046254210988,"WR",3000,387.073672532494,0,Inf,90,47.75,0.32,-0.2,"NYG"
"24","Sterling Shepard",10.5387681957436,"WR",4900,464.949974132559,0,Inf,90,40.25,-1.24,-0.2,"NYG"
"25","Roger Lewis",9.06809230967778,"WR",3000,330.830333167021,0,Inf,90,51.2,0.82,-0.2,"NYG"
"26","Pierre Garcon",12.9054236894332,"WR",5000,387.434006067847,0,Inf,60,80,4.13,-2.2,"WAS"
"27","Ryan Grant",3.68375061308289,"WR",3000,814.387377187114,0,Inf,90,28.8,-3.38,-2.2,"WAS"
"28","DeSean Jackson",13.2945569348093,"WR",5600,421.225019190933,0,Inf,50,76.7,3.06,-2.2,"WAS"
"29","Jamison Crowder",12.795020400158,"WR",5000,390.777024469477,0,Inf,90,63.25,1.33,-2.2,"WAS"
"30","Davante Adams",NA,"WR",5700,NA,0,Inf,50,73.95,2.23,-0.1,"GB"
"31","Jordy Nelson",NA,"WR",8100,NA,0,Inf,8,81.3,3.33,-0.1,"GB"
"32","Anquan Boldin",NA,"WR",4100,NA,0,Inf,90,74.5,2.5,3.1,"DET"
"33","Marvin Jones",NA,"WR",4200,NA,0,Inf,80,75.05,2.27,3.1,"DET"
"34","Andre Roberts",NA,"WR",3000,NA,0,Inf,90,38.3,-2.48,3.1,"DET"
"35","Golden Tate",NA,"WR",6600,NA,0,Inf,60,75.25,1.37,3.1,"DET"
"36","Arrelious Benn",-1.21989288333449,"WR",3000,-2459.23231538143,0,Inf,90,28.4,-2.98,-1.3,"JAX"
"37","Marqise Lee",2.06948746019605,"WR",4600,2222.77258909519,0,Inf,80,72.35,2.65,-1.3,"JAX"
"38","Allen Robinson",11.7834370134855,"WR",5500,466.756854872271,0,Inf,70,73.95,3.09,-1.3,"JAX"
"39","Bryan Walters",7.87649449391671,"WR",3000,380.880098667879,0,Inf,90,74.5,4.12,-1.3,"JAX"
"40","T.Y. Hilton",16.8039010394414,"WR",7600,452.275931770937,0,Inf,30,66.35,1.37,-2.8,"IND"
"41","Devin Street",4.31600740207192,"WR",3000,695.086852390437,0,Inf,90,25.2,-3.78,-2.8,"IND"
"42","Phillip Dorsett",8.38882720163723,"WR",3700,441.062845981364,0,Inf,90,44.15,-0.38,-2.8,"IND"
"43","Chester Rogers",8.58549600042819,"WR",3000,349.42652117599,0,Inf,90,58.2,1.52,-2.8,"IND"
"44","Cole Beasley",1.75643165394888,"WR",4700,2675.87980974568,0,Inf,90,41.6,-1.78,1.5,"DAL"
"45","Dez Bryant",2.19442123505497,"WR",6200,2825.34633777579,0,Inf,90,45.25,-2.42,1.5,"DAL"
"46","Brice Butler",4.87566081754825,"WR",3700,758.871492184841,0,Inf,90,34.4,-2.38,1.5,"DAL"
"47","Terrance Williams",3.62059371994628,"WR",3500,966.692280527937,0,Inf,90,45.8,-0.43,1.5,"DAL"
"48","Lucky Whitehead",4.3208186062379,"WR",3000,694.312877580408,0,Inf,90,36.3,-2.08,1.5,"DAL"
"49","Nelson Agholor",3.43648072616479,"WR",3300,960.284739813715,0,Inf,90,60.65,1.13,-0.6,"PHI"
"50","Dorial Green-Beckham",5.00568515627898,"WR",3200,639.273126474208,0,Inf,90,74.8,2.86,-0.6,"PHI"
"51","Bryce Treggs",-3.26587932049006,"WR",3000,-918.588749185575,0,Inf,90,34.4,-2.78,-0.6,"PHI"
"52","Josh Bellamy",NA,"WR",3100,NA,0,Inf,90,38.1,-1.11,0,"CHI"
"53","Alshon Jeffery",NA,"WR",5900,NA,0,Inf,90,62.9,1.17,0,"CHI"
"54","Deonte Thompson",NA,"WR",3600,NA,0,Inf,90,53.5,1.15,0,"CHI"
"55","Cameron Meredith",NA,"WR",5200,NA,0,Inf,50,78.5,4.18,0,"CHI"
"56","Charles Johnson",NA,"WR",3200,NA,0,Inf,90,63.85,1.86,-0.9,"MIN"
"57","Cordarrelle Patterson",NA,"WR",3400,NA,0,Inf,90,50.3,0.4,-0.9,"MIN"
"58","Adam Thielen",NA,"WR",5600,NA,0,Inf,70,77.75,3.06,-0.9,"MIN"
"59","Kelvin Benjamin",8.70204628527724,"WR",5300,609.052150063477,0,Inf,90,58.4,0.65,-1.4,"CAR"
