"","WRModel.Properties.Player_Name","WRP","WRModel.Properties.Position","WRModel.Properties.Salary","WRModel.Properties.Salary.WRP","WRModel.ActualPoints","WRModel.Properties.Salary.WRModel.ActualPoints","c.WRModel.Properties.OwnRank.","naWR","WRModel.Properties.ProjPlusMinus","WRModel.Properties.OppPlusMinus","WRModel.TeamName"
"1","Randall Cobb",8.34161481150818,"WR",5300,635.36858507157,32.1,165.109034267913,90,37.3,-1.65,-2.2,"GB"
"2","Antonio Brown",15.805157473328,"WR",9100,575.761425683781,26.9,338.289962825279,50,92.15,2.25,0.8,"PIT"
"3","Doug Baldwin",11.3239240359842,"WR",6900,609.329414262562,22.5,306.666666666667,40,91.15,3.15,0.2,"SEA"
"4","Davante Adams",9.16971216136886,"WR",7000,763.382740571764,22.5,311.111111111111,30,72.05,0.9,-2.2,"GB"
"5","Jarvis Landry",9.04077701305533,"WR",6400,707.903755480097,15.7,407.643312101911,50,80.55,2.5,-1,"MIA"
"6","DeAndre Hopkins",9.39215118738901,"WR",7400,787.891916596924,15.2,486.842105263158,80,55.7,-1.1,-0.7,"HOU"
"7","Andre Holmes",1.62885224496327,"WR",4500,2762.6815224738,13,346.153846153846,90,34,-2.05,0.8,"OAK"
"8","Paul Richardson",6.54026972448008,"WR",4700,718.62479652911,12.3,382.113821138211,70,76.35,1.75,0.2,"SEA"
"9","Kenny Stills",9.40325149885553,"WR",5000,531.730965678048,10.7,467.289719626168,60,79.5,3.6,-1,"MIA"
"10","Marvin Jones",5.31382258089467,"WR",5500,1035.03643869758,10.1,544.554455445545,80,72.25,1.35,-0.2,"DET"
"11","Sterling Shepard",9.2655427027041,"WR",5100,550.426474049015,8.3,614.457831325301,40,89.35,3.95,4.1,"NYG"
"12","DeVante Parker",10.2966693396137,"WR",6000,582.712700787292,7.5,800,70,50.45,-0.4,-1,"MIA"
"13","Will Fuller",5.69024657670128,"WR",5000,878.696543744256,5.7,877.19298245614,70,69.4,1.5,-0.7,"HOU"
"14","Odell Beckham",15.2447399087024,"WR",8900,583.807926753768,4.8,1854.16666666667,50,86.95,1.35,4.1,"NYG"
"15","Victor Cruz",5.16581966486319,"WR",4500,871.110548168773,4.5,1000,90,72.65,1.45,4.1,"NYG"
"16","Michael Crabtree",7.04051290279602,"WR",6000,852.210639031313,4.3,1395.3488372093,70,78.25,1.5,0.8,"OAK"
"17","Golden Tate",7.19058820551381,"WR",6100,848.331155345882,4,1525,50,82.8,2.35,-0.2,"DET"
"18","Anquan Boldin",4.68992155905623,"WR",4800,1023.471275491,3.4,1411.76470588235,70,76.05,2.6,-0.2,"DET"
"19","Jermaine Kearse",7.1170539080374,"WR",4900,688.487127302261,2.4,2041.66666666667,80,81.6,2.25,0.2,"SEA"
"20","Eli Rogers",7.80572938442527,"WR",5000,640.555129925011,2.4,2083.33333333333,50,84.05,2.5,0.8,"PIT"
"21","Amari Cooper",8.99660981077114,"WR",6500,722.494376961632,2,3250,70,71.25,0.55,0.8,"OAK"
"22","Jordy Nelson",12.1621120935092,"WR",8500,698.891766055695,1.8,4722.22222222222,20,82.6,1.85,-2.2,"GB"
"23","Cobi Hamilton",4.80166351464313,"WR",4500,937.175207358204,1.5,3000,90,48.7,-1.05,0.8,"PIT"
"24","Geronimo Allison",3.94497929141227,"WR",5200,1318.13112715693,1.3,4000,80,28.4,-2.3,-2.2,"GB"
"25","Seth Roberts",4.06376474594991,"WR",4500,1107.34756594482,0.6,7500,90,54.8,0.05,0.8,"OAK"
"26","Keith Mumphery",3.04539911423402,"WR",4500,1477.63883524076,0,Inf,90,37.35,-1.55,-0.7,"HOU"
"27","Andre Roberts",-0.29730773269098,"WR",4500,-15135.8323554849,0,Inf,90,29.55,-2.15,-0.2,"DET"
"28","Sammie Coates",6.24853514125548,"WR",4500,720.168791288231,0,Inf,90,58.35,-0.15,0.8,"PIT"
